Business situation,Confidence indicator,Construction,Hours,Orders,Interest rate spread,Share prices,CLI,Gross Domestic Product (GDP)
-3.8,95.65139424,99.909484,41.2,100.1550807,0.4,30.73980902,98.75509123,99.32947747
-6.6,97.05012104,99.93520266,41.2,100.1661535,0.28,30.8753734,98.714955,99.27989402
-8.2,94.89823366,99.96544088,41.3,100.1567628,0.13,31.44986332,98.69570089,99.24239359
-7.6,97.910876,99.99596484,40.9,100.1282728,0.11,32.47174942,98.71059378,99.22409704
-9,96.08177172,100.0237189,39.7,100.0749414,0.09,32.60314775,98.76999951,99.23233301
-8.2,95.22101677,100.0463773,41.3,100.0453337,0.59,34.30991134,98.88041965,99.27221725
-6.2,100.815924,100.0626044,41.1,100.068067,0.96,34.33728471,99.03096384,99.34216063
-1.4,99.73998027,100.0700839,41.2,100.0975416,1.29,34.41352628,99.18989926,99.42690475
-1.8,96.18936609,100.0662097,41.4,100.1256929,1.5,35.1403177,99.33873304,99.50691118
7.2,99.41719717,100.0503234,41.5,100.1246283,1.64,35.48435617,99.45979446,99.56645869
-0.6,101.8918677,100.0231008,41.4,100.0951665,1.47,34.21694107,99.54466626,99.60186766
3.2,102.5374339,99.98598394,41.5,100.0606163,1.42,35.11519624,99.61200469,99.61584559
2.2,101.8918677,99.94056446,41.6,100.0523514,1.53,35.74650318,99.67603759,99.61337899
1,103.8285663,99.89149182,41.4,100.0467059,1.29,36.99174608,99.74128734,99.59900806
6,106.7336143,99.84401286,41.5,100.0343662,0.89,38.49856915,99.81527433,99.57817851
10.4,104.2589438,99.80095237,41.7,100.0123922,1.01,38.78163074,99.89468313,99.5593001
7.6,104.7969156,99.76631715,41.4,100.027594,1.33,39.96729569,99.98779194,99.55612862
6.2,107.2715861,99.74143474,41.6,100.095757,1.23,41.4509579,100.1021058,99.58212748
7.6,107.5943692,99.72420553,41.8,100.1894967,1.3,41.26776505,100.2253875,99.64363401
7.4,109.1006904,99.71441853,41.8,100.3026599,1.38,39.7115855,100.3533064,99.73081727
12.2,111.037389,99.71224991,41.7,100.4279464,1.21,42.91641683,100.4811145,99.82673791
9.8,112.4361158,99.71871682,41.6,100.5719609,0.93,45.26382314,100.603539,99.91437211
15.4,115.2335694,99.73419787,41.6,100.7055812,0.7,47.62737116,100.7106649,99.98286958
12.6,112.3285215,99.75996223,41.7,100.8029768,0.76,47.68658797,100.7877005,100.0263287
